Condición,Protocolo,AUROC,AUPRC,F1,ΔAUROC,AUROC_sepsis
TRTR (baseline),TRTR,0.8728346863502257,0.5593106116303448,0.4587172903414411,0.0,0.9731210642556299
CTGAN,TSTR,0.7775095833519701,0.36076257441831683,0.3439001593429181,-0.09532510299825558,0.9998757344788615
TVAE,TSTR,0.8352215311496213,0.4557171801067331,0.3530360430819776,-0.037613155200604376,0.9996882649426612
TabDDPM,TSTR,0.7796844223731925,0.390470779862791,0.00479745228147784,-0.09315026397703319,0.9736498176189228
DP-CTGAN ε=∞,TSTR,0.7442277284391147,0.3499910322562424,0.2835723759510236,-0.128606957911111,0.999932153882137
DP-CTGAN ε=10,TSTR,0.691869764151803,0.2831928551684644,0.24693057494930531,-0.18096492219842264,0.9998878753631106
DP-CTGAN ε=5,TSTR,0.7127987135778786,0.2909825875630784,0.2236016012964418,-0.16003597277234705,0.9999814315887954
DP-CTGAN ε=1,TSTR,0.6628484939973595,0.2301842946360923,0.17220358288087861,-0.2099861923528662,0.8682633714878475
CTGAN (aug),TSTR+aug,0.8651754594128063,0.5298643496975568,0.45015849841377265,-0.007659226937419383,
TVAE (aug),TSTR+aug,0.8679559360458278,0.5410629482349023,0.42079200198629235,-0.004878750304397883,
TabDDPM (aug),TSTR+aug,0.8646458176992997,0.5393387406452278,0.4483244000050801,-0.00818886865092594,
DP-CTGAN ε=∞ (aug),TSTR+aug,0.8622140524905948,0.5389610787183262,0.4552967005768776,-0.010620633859630857,
DP-CTGAN ε=10 (aug),TSTR+aug,0.8579283083271625,0.5328803945891427,0.4318387433023944,-0.01490637802306316,
DP-CTGAN ε=5 (aug),TSTR+aug,0.8579995933080538,0.531553521105633,0.448140378680587,-0.014835093042171899,
DP-CTGAN ε=1 (aug),TSTR+aug,0.8625254389539652,0.5480194606517218,0.42850105549653394,-0.01030924739626049,
